Avg Speed (km/h),Distance (km),Road Type,Battery (kWh),Top Speed (km/h),Range_per_Charge,Bus Type,Charger Type,Passenger Capacity
33,234,Urban,468,82,343,Double Decker Bus,Fast DC,78
31,156,Rural,405,85,342,Standard City Bus,Depot,57
33,192,Rural,385,86,288,Standard City Bus,Fast DC,61
31,158,Rural,436,87,316,Double Decker Bus,Pantograph,83
31,221,Urban,386,78,307,Standard City Bus,Depot,52
29,154,Rural,330,81,260,Mini Bus,Fast DC,26
31,144,Rural,435,90,340,Articulated Bus,Pantograph,88
35,188,Rural,420,93,352,Articulated Bus,Fast DC,89
51,242,Highway,415,110,309,Standard City Bus,Fast DC,59
31,192,Rural,420,88,343,Standard City Bus,Depot,52
35,134,Rural,419,81,340,Articulated Bus,Fast DC,89
43,278,Highway,454,96,339,Articulated Bus,Pantograph,93
35,219,Urban,370,88,265,Standard City Bus,Fast DC,50
35,240,Urban,454,91,375,Double Decker Bus,Pantograph,70
25,186,Rural,332,71,241,Mini Bus,Fast DC,27
26,146,Rural,295,82,216,Mini Bus,Fast DC,29
32,215,Urban,436,78,322,Articulated Bus,Depot,80
54,220,Highway,476,102,391,Double Decker Bus,Depot,70
40,269,Highway,304,90,244,Mini Bus,Depot,33
27,171,Rural,292,78,225,Mini Bus,Fast DC,32
37,181,Urban,439,82,351,Double Decker Bus,Depot,75
50,276,Highway,441,96,323,Double Decker Bus,Fast DC,72
44,285,Highway,431,101,304,Double Decker Bus,Depot,72
30,199,Urban,329,81,239,Mini Bus,Fast DC,35
40,170,Urban,340,85,254,Mini Bus,Fast DC,31
48,297,Highway,434,99,311,Double Decker Bus,Pantograph,72
47,272,Highway,420,104,330,Standard City Bus,Pantograph,59
35,193,Rural,442,81,310,Double Decker Bus,Fast DC,82
31,172,Urban,457,84,360,Articulated Bus,Pantograph,94
33,192,Urban,339,79,260,Mini Bus,Pantograph,27
33,205,Urban,364,87,263,Standard City Bus,Pantograph,53
31,134,Rural,425,91,352,Articulated Bus,Fast DC,88
39,228,Urban,423,98,298,Articulated Bus,Depot,90
30,136,Rural,476,81,383,Double Decker Bus,Pantograph,80
35,175,Rural,366,94,290,Standard City Bus,Fast DC,53
31,159,Rural,328,87,262,Mini Bus,Depot,26
49,223,Highway,293,96,207,Mini Bus,Fast DC,29
46,284,Highway,318,101,252,Mini Bus,Fast DC,32
27,147,Rural,400,76,291,Standard City Bus,Depot,56
39,199,Urban,418,91,295,Standard City Bus,Fast DC,51
39,209,Urban,373,97,291,Standard City Bus,Fast DC,58
30,220,Urban,314,86,241,Mini Bus,Pantograph,35
35,151,Rural,331,85,252,Mini Bus,Pantograph,25
35,135,Rural,446,90,363,Articulated Bus,Pantograph,81
43,291,Highway,399,92,325,Articulated Bus,Pantograph,92
32,193,Urban,313,84,244,Mini Bus,Pantograph,31
53,248,Highway,286,111,213,Mini Bus,Depot,32
52,258,Highway,437,111,336,Articulated Bus,Depot,87
29,155,Rural,340,85,288,Mini Bus,Fast DC,25
40,210,Urban,331,91,239,Mini Bus,Fast DC,26
35,182,Urban,392,94,281,Articulated Bus,Pantograph,92
40,201,Urban,324,90,264,Mini Bus,Pantograph,33
50,287,Highway,412,96,305,Articulated Bus,Pantograph,86
35,227,Urban,386,83,284,Standard City Bus,Pantograph,57
40,193,Urban,374,97,297,Standard City Bus,Pantograph,56
31,195,Urban,289,85,241,Mini Bus,Fast DC,35
32,177,Rural,362,89,292,Standard City Bus,Depot,56
31,230,Urban,418,81,349,Standard City Bus,Depot,60
40,228,Highway,382,96,302,Standard City Bus,Fast DC,51
50,299,Highway,407,107,310,Standard City Bus,Depot,64
31,195,Rural,412,86,337,Articulated Bus,Pantograph,93
52,276,Highway,325,109,269,Mini Bus,Pantograph,28
34,138,Rural,392,86,285,Standard City Bus,Depot,58
28,131,Rural,328,85,233,Mini Bus,Pantograph,29
52,241,Highway,420,107,309,Double Decker Bus,Fast DC,83
30,192,Rural,446,76,330,Articulated Bus,Pantograph,91
28,157,Rural,371,74,284,Standard City Bus,Pantograph,65
34,173,Urban,425,89,314,Double Decker Bus,Fast DC,75
52,222,Highway,297,105,225,Mini Bus,Fast DC,28
38,188,Urban,366,83,287,Standard City Bus,Depot,56
41,249,Highway,421,88,345,Articulated Bus,Pantograph,80
41,223,Highway,383,99,309,Standard City Bus,Pantograph,64
30,189,Urban,444,77,356,Double Decker Bus,Depot,77
27,134,Rural,364,80,282,Standard City Bus,Pantograph,56
33,232,Urban,397,78,299,Articulated Bus,Fast DC,84
29,196,Rural,441,84,338,Double Decker Bus,Pantograph,71
35,204,Urban,401,92,308,Standard City Bus,Depot,50
40,227,Highway,333,85,258,Mini Bus,Pantograph,25
26,153,Rural,400,80,282,Standard City Bus,Pantograph,55
31,183,Rural,328,85,248,Mini Bus,Fast DC,33
45,228,Highway,304,90,240,Mini Bus,Depot,35
35,219,Urban,369,91,306,Standard City Bus,Depot,58
26,143,Rural,410,78,322,Standard City Bus,Depot,50
44,296,Highway,282,93,228,Mini Bus,Fast DC,33
28,164,Rural,338,82,261,Mini Bus,Fast DC,34
47,279,Highway,414,101,343,Articulated Bus,Pantograph,86
30,158,Rural,427,79,319,Double Decker Bus,Depot,75
26,150,Rural,456,78,335,Articulated Bus,Pantograph,88
48,264,Highway,339,104,272,Mini Bus,Fast DC,31
36,177,Urban,394,82,312,Standard City Bus,Fast DC,61
34,225,Urban,382,85,269,Standard City Bus,Pantograph,57
39,173,Urban,455,92,358,Articulated Bus,Depot,91
25,196,Rural,461,82,380,Double Decker Bus,Pantograph,80
50,275,Highway,420,109,355,Articulated Bus,Pantograph,84
30,224,Urban,418,89,313,Articulated Bus,Fast DC,86
41,283,Highway,457,86,359,Double Decker Bus,Pantograph,75
50,247,Highway,438,105,321,Articulated Bus,Depot,82
38,240,Urban,377,86,264,Standard City Bus,Fast DC,53
26,139,Rural,439,81,353,Double Decker Bus,Fast DC,82
52,237,Highway,435,100,317,Articulated Bus,Pantograph,83
38,189,Urban,322,94,244,Mini Bus,Depot,26
28,178,Rural,472,79,386,Double Decker Bus,Fast DC,73
26,136,Rural,336,83,247,Mini Bus,Pantograph,26
34,171,Urban,292,79,222,Mini Bus,Fast DC,29
32,154,Rural,447,85,378,Articulated Bus,Pantograph,85
38,196,Urban,417,94,298,Standard City Bus,Depot,62
32,172,Rural,462,83,390,Double Decker Bus,Fast DC,75
33,140,Rural,467,85,340,Double Decker Bus,Pantograph,71
55,262,Highway,413,100,320,Articulated Bus,Fast DC,85
36,238,Urban,370,96,286,Standard City Bus,Fast DC,55
45,268,Highway,424,105,342,Articulated Bus,Fast DC,92
29,138,Rural,325,81,250,Mini Bus,Depot,35
31,234,Urban,455,86,360,Double Decker Bus,Fast DC,79
40,278,Highway,422,97,334,Articulated Bus,Fast DC,89
43,287,Highway,393,93,328,Standard City Bus,Depot,54
38,203,Urban,412,91,297,Articulated Bus,Depot,89
30,195,Urban,473,87,336,Double Decker Bus,Pantograph,85
37,217,Urban,441,86,349,Double Decker Bus,Fast DC,76
50,239,Highway,309,107,248,Mini Bus,Pantograph,34
32,160,Rural,476,83,350,Double Decker Bus,Depot,73
48,263,Highway,416,105,298,Articulated Bus,Pantograph,94
32,181,Urban,438,85,366,Double Decker Bus,Fast DC,76
30,205,Urban,371,75,296,Standard City Bus,Pantograph,64
43,286,Highway,411,91,295,Articulated Bus,Depot,84
31,218,Urban,282,87,216,Mini Bus,Pantograph,35
51,238,Highway,469,107,384,Double Decker Bus,Pantograph,85
32,218,Urban,401,88,309,Standard City Bus,Fast DC,55
40,199,Urban,321,85,262,Mini Bus,Pantograph,29
49,292,Highway,380,103,322,Standard City Bus,Fast DC,59
34,194,Rural,382,92,293,Standard City Bus,Depot,64
34,174,Urban,307,88,252,Mini Bus,Fast DC,30
46,286,Highway,460,94,346,Articulated Bus,Fast DC,92
49,255,Highway,403,101,298,Standard City Bus,Pantograph,65
35,185,Rural,391,94,290,Standard City Bus,Fast DC,60
27,188,Rural,297,84,244,Mini Bus,Depot,30
27,169,Rural,431,81,322,Articulated Bus,Pantograph,81
29,136,Rural,401,86,339,Standard City Bus,Fast DC,55
34,132,Rural,375,86,289,Standard City Bus,Depot,61
44,293,Highway,400,89,313,Standard City Bus,Depot,58
43,229,Highway,428,97,361,Double Decker Bus,Depot,79
37,228,Urban,431,97,318,Double Decker Bus,Depot,79
35,232,Urban,478,88,350,Double Decker Bus,Depot,73
47,229,Highway,460,102,378,Articulated Bus,Pantograph,86
34,156,Rural,457,83,373,Double Decker Bus,Depot,80
30,168,Rural,284,79,199,Mini Bus,Fast DC,26
41,292,Highway,393,99,290,Standard City Bus,Pantograph,63
31,183,Urban,387,78,288,Standard City Bus,Depot,58
52,297,Highway,424,104,311,Articulated Bus,Fast DC,88
34,217,Urban,398,94,335,Articulated Bus,Depot,83
55,228,Highway,444,107,341,Double Decker Bus,Depot,76
37,218,Urban,445,92,366,Double Decker Bus,Pantograph,74
47,244,Highway,317,99,237,Mini Bus,Fast DC,29
38,230,Urban,291,90,224,Mini Bus,Pantograph,29
47,263,Highway,362,95,299,Standard City Bus,Pantograph,52
46,294,Highway,338,102,250,Mini Bus,Pantograph,28
34,133,Rural,334,92,235,Mini Bus,Depot,32
43,291,Highway,400,91,314,Articulated Bus,Pantograph,81
30,178,Rural,471,79,335,Double Decker Bus,Depot,77
54,269,Highway,398,104,287,Standard City Bus,Pantograph,64
38,181,Urban,384,91,316,Standard City Bus,Pantograph,59
32,136,Rural,390,77,318,Articulated Bus,Depot,85
29,190,Rural,380,84,273,Standard City Bus,Fast DC,56
47,287,Highway,413,94,333,Standard City Bus,Fast DC,60
35,169,Rural,459,85,381,Articulated Bus,Depot,88
30,228,Urban,447,79,369,Articulated Bus,Pantograph,89
41,263,Highway,371,94,262,Standard City Bus,Fast DC,51
31,169,Rural,332,90,244,Mini Bus,Fast DC,27
37,197,Urban,413,87,292,Standard City Bus,Fast DC,58
29,136,Rural,378,76,309,Standard City Bus,Depot,62
38,186,Urban,311,83,249,Mini Bus,Fast DC,29
32,182,Rural,368,83,271,Standard City Bus,Depot,56
47,294,Highway,428,101,356,Double Decker Bus,Fast DC,77
32,189,Urban,416,89,316,Standard City Bus,Pantograph,61
44,287,Highway,306,100,216,Mini Bus,Depot,25
41,228,Highway,403,96,290,Articulated Bus,Depot,93
31,159,Rural,473,76,340,Double Decker Bus,Fast DC,80
34,197,Urban,445,93,332,Double Decker Bus,Fast DC,84
44,249,Highway,377,91,269,Standard City Bus,Fast DC,50
29,171,Rural,434,79,326,Double Decker Bus,Pantograph,76
31,154,Rural,387,88,324,Standard City Bus,Depot,58
40,259,Highway,442,87,374,Articulated Bus,Pantograph,93
52,257,Highway,407,111,289,Standard City Bus,Depot,61
33,174,Urban,387,80,285,Standard City Bus,Pantograph,59
52,223,Highway,398,110,323,Standard City Bus,Depot,52
25,167,Rural,445,85,355,Double Decker Bus,Pantograph,80
25,173,Rural,283,74,206,Mini Bus,Fast DC,28
36,201,Urban,426,89,333,Double Decker Bus,Fast DC,84
45,259,Highway,427,105,336,Double Decker Bus,Depot,70
31,176,Rural,416,78,301,Standard City Bus,Fast DC,60
54,225,Highway,419,99,305,Standard City Bus,Depot,60
43,299,Highway,424,102,299,Double Decker Bus,Fast DC,79
54,227,Highway,462,99,323,Double Decker Bus,Pantograph,78
45,243,Highway,417,102,303,Articulated Bus,Depot,83
30,138,Rural,426,76,303,Articulated Bus,Fast DC,80
40,171,Urban,296,95,217,Mini Bus,Fast DC,34
41,240,Highway,318,87,229,Mini Bus,Pantograph,33
52,298,Highway,292,100,222,Mini Bus,Fast DC,31
33,190,Rural,424,79,320,Double Decker Bus,Pantograph,73
33,170,Rural,332,92,252,Mini Bus,Pantograph,33
26,184,Rural,414,81,307,Articulated Bus,Fast DC,80
42,286,Highway,375,98,296,Standard City Bus,Pantograph,53
48,268,Highway,427,107,362,Articulated Bus,Fast DC,80
32,203,Urban,456,90,339,Articulated Bus,Fast DC,94
40,195,Urban,455,99,374,Double Decker Bus,Depot,78
53,228,Highway,396,104,308,Standard City Bus,Fast DC,55
40,299,Highway,432,86,304,Double Decker Bus,Pantograph,74
49,287,Highway,295,102,226,Mini Bus,Fast DC,26
55,289,Highway,295,110,211,Mini Bus,Pantograph,32
26,192,Rural,334,77,263,Mini Bus,Depot,25
30,191,Rural,284,82,205,Mini Bus,Depot,28
38,189,Urban,471,96,397,Double Decker Bus,Fast DC,76
35,172,Urban,282,92,238,Mini Bus,Pantograph,34
54,236,Highway,285,106,237,Mini Bus,Depot,31
40,195,Urban,294,94,231,Mini Bus,Fast DC,35
28,155,Rural,414,74,315,Standard City Bus,Pantograph,54
41,264,Highway,429,86,350,Articulated Bus,Fast DC,85
30,138,Rural,423,85,306,Double Decker Bus,Fast DC,85
25,176,Rural,429,85,330,Articulated Bus,Fast DC,82
27,162,Rural,454,73,370,Double Decker Bus,Depot,75
30,200,Urban,429,76,345,Articulated Bus,Depot,82
31,171,Rural,473,85,360,Double Decker Bus,Depot,74
46,264,Highway,319,103,261,Mini Bus,Depot,29
35,181,Rural,417,82,314,Articulated Bus,Depot,87
31,140,Rural,424,76,297,Double Decker Bus,Pantograph,72
49,243,Highway,372,96,311,Standard City Bus,Pantograph,58
35,220,Urban,395,86,278,Standard City Bus,Depot,54
33,186,Urban,450,93,379,Articulated Bus,Pantograph,82
38,236,Urban,428,91,345,Articulated Bus,Pantograph,86
40,203,Urban,468,92,349,Double Decker Bus,Fast DC,83
27,141,Rural,427,82,308,Double Decker Bus,Depot,70
26,197,Rural,410,86,319,Standard City Bus,Fast DC,60
40,236,Urban,280,87,220,Mini Bus,Depot,33
48,299,Highway,289,95,204,Mini Bus,Fast DC,26
53,269,Highway,297,112,227,Mini Bus,Depot,34
51,293,Highway,411,106,324,Articulated Bus,Fast DC,89
34,139,Rural,393,86,312,Standard City Bus,Depot,59
35,203,Urban,417,88,342,Articulated Bus,Depot,92
52,243,Highway,426,103,346,Double Decker Bus,Pantograph,85
30,187,Urban,370,78,273,Standard City Bus,Pantograph,54
26,174,Rural,446,83,376,Articulated Bus,Depot,85
31,219,Urban,401,82,306,Standard City Bus,Pantograph,61
51,231,Highway,438,106,323,Articulated Bus,Fast DC,88
33,159,Rural,445,92,373,Articulated Bus,Depot,80
53,251,Highway,312,102,218,Mini Bus,Pantograph,29
40,227,Urban,422,94,339,Articulated Bus,Pantograph,94
52,225,Highway,445,97,311,Articulated Bus,Depot,86
30,142,Rural,297,87,233,Mini Bus,Fast DC,34
49,231,Highway,398,108,301,Standard City Bus,Fast DC,53
46,244,Highway,401,99,289,Articulated Bus,Depot,91
46,223,Highway,312,101,247,Mini Bus,Pantograph,26
32,175,Rural,408,79,326,Standard City Bus,Fast DC,62
34,144,Rural,394,93,300,Standard City Bus,Pantograph,57
27,145,Rural,323,73,263,Mini Bus,Pantograph,27
41,246,Highway,380,92,284,Standard City Bus,Pantograph,61
32,226,Urban,281,89,229,Mini Bus,Depot,32
33,179,Rural,391,78,298,Articulated Bus,Pantograph,81
46,279,Highway,411,94,302,Articulated Bus,Pantograph,82
36,226,Urban,382,84,283,Standard City Bus,Depot,64
31,215,Urban,449,81,379,Articulated Bus,Fast DC,82
45,226,Highway,336,98,241,Mini Bus,Fast DC,27
43,257,Highway,432,100,359,Double Decker Bus,Pantograph,79
42,226,Highway,427,88,315,Double Decker Bus,Pantograph,74
42,240,Highway,480,88,377,Double Decker Bus,Pantograph,77
31,171,Urban,421,77,303,Double Decker Bus,Depot,74
38,202,Urban,462,84,332,Double Decker Bus,Pantograph,71
33,184,Rural,364,86,263,Standard City Bus,Fast DC,53
44,241,Highway,403,92,300,Standard City Bus,Depot,59
25,158,Rural,423,77,356,Double Decker Bus,Pantograph,72
32,154,Rural,406,82,337,Articulated Bus,Fast DC,80
34,160,Rural,444,89,321,Articulated Bus,Fast DC,84
30,163,Rural,446,85,369,Double Decker Bus,Fast DC,72
46,242,Highway,388,105,273,Standard City Bus,Depot,64
27,177,Rural,322,74,226,Mini Bus,Fast DC,33
35,194,Urban,335,81,260,Mini Bus,Depot,33
43,229,Highway,432,96,366,Articulated Bus,Pantograph,83
31,172,Rural,444,84,352,Double Decker Bus,Fast DC,81
40,254,Highway,374,91,280,Standard City Bus,Pantograph,51
53,245,Highway,396,113,309,Standard City Bus,Depot,63
50,244,Highway,464,110,383,Double Decker Bus,Pantograph,74
